iter	Passed	Remaining
0	0	56
1	1	50
2	1	47
3	1	42
4	2	42
5	2	41
6	3	40
7	3	39
8	3	38
9	4	38
10	4	37
11	5	37
12	5	36
13	5	36
14	6	36
15	6	35
16	7	35
17	7	34
18	8	34
19	8	34
20	8	33
21	9	33
22	10	33
23	10	33
24	11	33
25	11	32
26	11	32
27	12	31
28	12	31
29	13	31
30	13	30
31	14	30
32	14	29
33	14	29
34	15	28
35	15	28
36	16	27
37	16	27
38	17	26
39	17	26
40	17	25
41	18	25
42	18	24
43	18	24
44	19	23
45	19	23
46	20	22
47	20	22
48	21	21
49	21	21
50	22	21
51	22	20
52	23	20
53	23	20
54	23	19
55	24	19
56	24	18
57	25	18
58	25	17
59	26	17
60	26	16
61	27	16
62	27	16
63	28	15
64	28	15
65	29	15
66	29	14
67	30	14
68	30	13
69	31	13
70	31	12
71	32	12
72	32	12
73	33	11
74	33	11
75	34	10
76	34	10
77	34	9
78	35	9
79	35	8
80	37	8
81	37	8
82	37	7
83	38	7
84	38	6
85	39	6
86	39	5
87	40	5
88	42	5
89	42	4
90	43	4
91	43	3
92	43	3
93	44	2
94	44	2
95	45	1
96	45	1
97	46	0
98	46	0
99	46	0
