iter	Passed	Remaining
0	148	148539
1	150	75108
2	154	51286
3	157	39170
4	158	31616
5	161	26711
6	163	23215
7	165	20552
8	167	18462
9	169	16767
10	170	15370
11	173	14325
12	175	13348
13	177	12482
14	178	11718
15	179	11040
16	180	10441
17	181	9905
18	182	9417
19	183	8974
20	183	8572
21	184	8209
22	185	7874
23	186	7565
24	186	7291
25	187	7039
26	188	6797
27	189	6572
28	189	6358
29	190	6156
30	190	5967
31	191	5788
32	191	5622
33	192	5464
34	192	5314
35	193	5173
36	193	5039
37	194	4912
38	194	4791
39	194	4676
40	195	4568
41	195	4465
42	196	4366
43	196	4271
44	197	4181
45	197	4094
46	197	4012
47	198	3932
48	198	3857
49	199	3784
50	199	3714
51	200	3646
52	200	3581
53	200	3518
54	201	3457
55	201	3399
56	202	3343
57	202	3289
58	203	3237
59	203	3187
60	203	3138
61	204	3091
62	204	3047
63	205	3005
64	206	2963
65	206	2922
66	207	2882
67	207	2844
68	208	2807
69	208	2771
70	209	2735
71	209	2700
72	210	2667
73	210	2634
74	210	2601
75	211	2569
76	211	2538
77	212	2509
78	212	2479
79	213	2450
80	213	2422
81	213	2394
82	214	2365
83	214	2339
84	214	2314
85	215	2290
86	215	2266
87	216	2244
88	217	2221
89	217	2200
90	218	2179
91	218	2159
92	219	2138
93	219	2117
94	220	2097
95	220	2078
96	221	2058
97	221	2039
98	222	2020
99	222	2002
100	222	1983
101	223	1965
102	223	1948
103	224	1930
104	224	1913
105	224	1897
106	225	1881
107	225	1865
108	226	1849
109	226	1834
110	227	1818
111	227	1803
112	227	1789
113	228	1774
114	228	1760
115	229	1746
116	229	1731
117	229	1718
118	230	1706
119	230	1693
120	231	1681
121	231	1668
122	232	1656
123	232	1645
124	233	1634
125	233	1622
126	234	1610
127	234	1599
128	235	1588
129	235	1576
130	236	1565
131	236	1554
132	236	1543
133	237	1533
134	237	1522
135	238	1512
136	238	1502
137	238	1491
138	239	1482
139	239	1472
140	240	1462
141	240	1452
142	240	1443
143	241	1433
144	241	1424
145	242	1416
146	242	1407
147	242	1398
148	243	1389
149	243	1381
150	244	1372
151	244	1364
152	245	1356
153	245	1348
154	245	1340
155	246	1332
156	246	1324
157	247	1316
158	247	1309
159	248	1302
160	248	1294
161	248	1286
162	249	1279
163	249	1272
164	250	1265
165	250	1258
166	250	1251
167	251	1244
168	251	1237
169	252	1231
170	252	1224
171	253	1218
172	253	1211
173	253	1205
174	254	1198
175	254	1192
176	255	1186
177	255	1180
178	255	1174
179	256	1167
180	256	1162
181	257	1156
182	257	1150
